date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph
2020-01-22,25,19,0.0,5.7,1,1,11,04:05 AM,03:26 PM,06:30 AM,05:44 PM,20,23,23,22,11,42,87,0.0,1015,25,8,110,8
2020-01-23,26,20,0.0,8.7,1,1,3,05:01 AM,04:19 PM,06:29 AM,05:44 PM,20,24,24,22,9,45,87,0.1,1013,26,9,102,7
2020-01-24,25,21,0.0,5.7,1,1,0,05:54 AM,05:14 PM,06:29 AM,05:45 PM,21,25,25,23,9,70,89,0.3,1013,25,8,96,6
2020-01-25,26,22,0.0,5.7,1,1,0,06:43 AM,06:08 PM,06:29 AM,05:45 PM,21,26,26,24,15,68,87,4.8,1011,26,10,103,10
2020-01-26,16,13,0.0,4.2,1,1,4,07:29 AM,07:01 PM,06:29 AM,05:46 PM,14,16,16,16,22,100,87,19.7,1015,16,6,318,15
2020-01-27,16,12,0.0,4.2,1,1,11,08:10 AM,07:52 PM,06:29 AM,05:46 PM,14,15,16,15,7,100,87,5.6,1014,16,7,122,5
2020-01-28,17,11,0.0,4.2,1,1,18,08:48 AM,08:41 PM,06:29 AM,05:47 PM,15,16,16,16,12,100,91,8.4,1016,17,6,237,9
2020-01-29,17,15,0.0,4.2,1,1,26,09:24 AM,09:29 PM,06:29 AM,05:48 PM,14,16,16,16,16,97,87,7.6,1019,17,5,22,12
2020-01-30,17,14,0.0,4.2,1,1,33,09:58 AM,10:16 PM,06:28 AM,05:48 PM,12,16,16,16,11,90,77,0.6,1020,17,9,221,8
2020-01-31,19,14,0.0,5.7,1,1,37,10:32 AM,11:03 PM,06:28 AM,05:49 PM,13,17,17,17,10,67,77,0.0,1018,19,10,235,7
2020-02-01,20,14,0.0,4.2,1,1,49,11:08 AM,11:52 PM,06:28 AM,05:49 PM,15,18,18,18,9,88,84,0.0,1017,20,10,132,6
2020-02-02,25,19,0.0,5.7,1,1,57,11:44 AM,No moonset,06:28 AM,05:50 PM,18,22,22,21,11,46,83,0.1,1017,25,10,125,7
2020-02-03,25,19,0.0,7.2,1,1,64,12:24 PM,12:41 AM,06:27 AM,05:50 PM,19,22,22,21,10,47,85,0.0,1016,25,10,115,7
2020-02-04,24,20,0.0,5.7,1,1,72,01:08 PM,01:35 AM,06:27 AM,05:51 PM,19,22,22,21,15,64,88,4.5,1016,24,10,75,10
2020-02-05,21,19,0.0,4.2,1,1,79,01:57 PM,02:30 AM,06:27 AM,05:51 PM,19,20,20,20,9,71,92,3.0,1016,21,8,220,6
2020-02-06,25,18,0.0,7.2,1,1,87,02:51 PM,03:28 AM,06:26 AM,05:52 PM,19,22,22,21,8,45,85,0.0,1015,25,7,117,5
2020-02-07,24,20,0.0,4.2,1,1,95,03:51 PM,04:26 AM,06:26 AM,05:52 PM,19,23,23,22,9,50,86,0.1,1017,24,10,92,6
2020-02-08,23,20,0.0,4.2,1,1,100,04:54 PM,05:25 AM,06:26 AM,05:53 PM,19,21,22,21,11,86,89,6.0,1019,23,9,135,7
2020-02-09,20,18,0.0,4.2,1,1,100,05:59 PM,06:20 AM,06:25 AM,05:53 PM,18,19,19,19,26,100,93,39.4,1022,20,7,29,18
2020-02-10,19,16,0.0,4.2,1,1,83,07:03 PM,07:12 AM,06:25 AM,05:54 PM,16,17,17,17,14,89,92,5.9,1019,19,5,319,10
2020-02-11,23,18,0.0,4.2,1,1,75,08:06 PM,08:01 AM,06:25 AM,05:54 PM,19,20,21,20,8,84,89,0.0,1017,23,8,55,6
2020-02-12,26,21,0.0,5.7,1,1,68,09:07 PM,08:46 AM,06:24 AM,05:55 PM,21,25,25,23,10,54,89,0.0,1014,26,7,102,7
2020-02-13,29,21,0.0,4.2,1,1,60,10:06 PM,09:31 AM,06:24 AM,05:55 PM,21,27,27,24,12,52,85,0.8,1011,29,7,150,7
2020-02-14,32,22,0.0,5.7,1,1,53,11:06 PM,10:14 AM,06:23 AM,05:55 PM,21,30,30,27,17,47,75,0.5,1008,32,10,185,9
2020-02-15,32,23,0.0,8.7,1,1,45,No moonrise,10:58 AM,06:23 AM,05:56 PM,21,28,28,26,16,6,76,0.0,1009,32,10,116,9
2020-02-16,19,11,0.0,4.3,1,1,38,12:04 AM,11:44 AM,06:22 AM,05:56 PM,16,18,18,18,19,85,90,15.9,1018,19,8,234,14
2020-02-17,16,15,0.0,4.3,1,1,30,01:03 AM,12:32 PM,06:22 AM,05:57 PM,12,15,16,15,14,95,82,6.9,1024,16,8,351,10
2020-02-18,19,15,0.0,5.7,1,1,22,02:00 AM,01:23 PM,06:21 AM,05:57 PM,12,17,17,17,14,69,75,0.4,1023,19,9,129,10
2020-02-19,20,17,0.0,4.3,1,1,15,02:56 AM,02:15 PM,06:21 AM,05:57 PM,15,18,18,18,8,83,81,0.0,1020,20,10,232,6
2020-02-20,23,19,0.0,4.3,1,1,7,03:50 AM,03:09 PM,06:20 AM,05:58 PM,18,20,21,20,9,83,88,1.7,1020,23,9,239,7
2020-02-21,24,19,0.0,4.3,1,1,0,04:39 AM,04:02 PM,06:19 AM,05:58 PM,19,22,22,21,11,75,86,5.6,1023,24,10,152,7
2020-02-22,21,19,0.0,4.3,1,1,0,05:26 AM,04:55 PM,06:19 AM,05:59 PM,18,20,21,20,20,83,91,10.4,1023,21,10,129,13
2020-02-23,22,19,0.0,4.3,1,1,0,06:07 AM,05:46 PM,06:18 AM,05:59 PM,18,20,21,20,11,69,89,5.5,1021,22,10,138,8
2020-02-24,23,18,0.0,8.7,1,1,0,06:46 AM,06:35 PM,06:18 AM,05:59 PM,18,20,21,20,9,44,87,0.2,1017,23,10,163,6
2020-02-25,25,19,0.0,11.6,1,1,8,07:23 AM,07:24 PM,06:17 AM,06:00 PM,18,22,22,22,9,36,83,0.1,1015,25,10,93,7
2020-02-26,24,19,0.0,5.9,1,1,15,07:58 AM,08:11 PM,06:16 AM,06:00 PM,20,23,23,22,10,73,87,0.3,1015,24,9,145,7
2020-02-27,24,21,0.0,7.3,1,1,23,08:32 AM,08:58 PM,06:16 AM,06:00 PM,21,25,25,23,10,65,89,7.6,1015,24,7,59,6
2020-02-28,25,20,0.0,11.6,1,1,30,09:06 AM,09:46 PM,06:15 AM,06:01 PM,20,24,24,23,10,44,85,0.2,1014,25,9,157,7
2020-02-29,26,21,0.0,10.2,1,1,38,09:42 AM,10:34 PM,06:14 AM,06:01 PM,21,26,26,23,9,51,87,0.3,1012,26,9,83,6
2020-03-01,28,21,0.0,11.6,1,1,44,10:20 AM,11:26 PM,06:14 AM,06:01 PM,21,26,26,24,9,31,87,0.0,1011,28,7,85,6
2020-03-02,26,22,0.0,5.9,1,1,51,11:01 AM,No moonset,06:13 AM,06:02 PM,21,26,26,24,10,78,86,0.4,1012,26,10,90,7
2020-03-03,26,22,0.0,6.0,1,1,58,11:46 AM,12:18 AM,06:12 AM,06:02 PM,21,26,26,24,14,72,87,4.5,1013,26,10,109,10
2020-03-04,23,21,0.0,6.0,1,1,65,12:36 PM,01:14 AM,06:11 AM,06:02 PM,21,25,25,22,14,89,95,15.6,1013,23,7,102,9
2020-03-05,20,15,0.0,6.0,1,1,73,01:33 PM,02:10 AM,06:11 AM,06:02 PM,18,19,19,19,18,100,92,33.1,1016,20,8,330,13
2020-03-06,24,19,0.0,10.2,1,1,80,02:32 PM,03:07 AM,06:10 AM,06:03 PM,19,22,22,21,9,61,86,0.6,1014,24,8,160,7
2020-03-07,27,20,0.0,11.6,1,1,87,03:36 PM,04:03 AM,06:09 AM,06:03 PM,21,25,25,23,9,21,84,0.0,1011,27,8,57,6
2020-03-08,35,24,0.0,11.6,1,1,95,04:40 PM,04:57 AM,06:09 AM,06:03 PM,20,31,31,29,12,2,61,0.0,1006,35,10,164,7
2020-03-09,36,25,0.0,11.6,1,1,100,05:45 PM,05:47 AM,06:08 AM,06:03 PM,19,32,32,30,13,4,56,0.0,1005,36,10,216,7
2020-03-10,24,21,0.0,6.0,1,1,100,06:48 PM,06:35 AM,06:07 AM,06:04 PM,20,25,25,22,19,74,84,7.6,1011,24,8,23,13
2020-03-11,25,20,0.0,8.8,1,1,84,07:50 PM,07:21 AM,06:06 AM,06:04 PM,19,23,23,22,11,60,83,0.0,1013,25,10,126,8
2020-03-12,28,20,0.0,11.6,1,1,76,08:52 PM,08:06 AM,06:05 AM,06:04 PM,21,26,26,24,9,22,86,0.0,1011,28,9,66,7
2020-03-13,30,23,0.0,11.6,1,1,69,09:53 PM,08:51 AM,06:05 AM,06:04 PM,22,29,29,26,11,12,81,0.0,1011,30,10,43,7
2020-03-14,24,16,0.0,6.0,1,1,62,10:54 PM,09:38 AM,06:04 AM,06:05 PM,21,24,24,22,17,99,92,2.8,1015,24,4,45,12
2020-03-15,22,20,0.0,6.0,1,1,55,11:54 PM,10:27 AM,06:03 AM,06:05 PM,19,21,22,21,12,92,91,2.0,1015,22,5,119,9
2020-03-16,26,21,0.0,7.4,1,1,47,No moonrise,11:18 AM,06:02 AM,06:05 PM,21,26,26,23,7,74,90,0.1,1014,26,8,148,5
